No.,FREQUENCY(MHz),Z,D,Cs
628,13.1210,1.78264,0.17946,0.000000006913
629,13.2230,1.75298,0.18245,0.00000000698
630,13.3270,1.72366,0.18577,0.000000007047
631,13.4310,1.6939,0.18941,0.00000000712
632,13.5360,1.66453,0.19298,0.000000007194
633,13.6410,1.6357,0.19671,0.00000000727
634,13.7480,1.60634,0.20071,0.000000007351
635,13.8550,1.57708,0.20473,0.000000007435
636,13.9630,1.54876,0.20884,0.000000007518
637,14.0720,1.52011,0.21283,0.000000007607
638,14.1820,1.49132,0.2173,0.000000007701
639,14.2930,1.46229,0.22202,0.0000000078
640,14.4050,1.43432,0.22709,0.000000007899
641,14.5170,1.4056,0.23192,0.000000008007
642,14.6300,1.37796,0.23709,0.000000008114
643,14.7450,1.3496,0.24249,0.00000000823
644,14.8600,1.32196,0.24836,0.000000008348
645,14.9760,1.2940,0.25415,0.000000008474
646,15.0930,1.26672,0.26032,0.000000008602
647,15.2110,1.23892,0.26666,0.00000000874
648,15.3290,1.21134,0.27337,0.000000008886
649,15.4490,1.18406,0.28107,0.000000009038
650,15.5700,1.15674,0.28825,0.000000009197
651,15.6910,1.12964,0.29565,0.000000009363
652,15.8140,1.10256,0.30417,0.000000009541
653,15.9370,1.07604,0.31278,0.000000009724
654,16.0620,1.04929,0.32219,0.000000009921
655,16.1870,1.02312,0.33196,0.000000010126
656,16.3140,0.99627,0.3421,0.000000010349
657,16.4410,0.97048,0.35362,0.00000001058
658,16.5690,0.94461,0.36457,0.000000010824
659,16.6990,0.91819,0.37696,0.000000011093
660,16.8290,0.89279,0.39025,0.000000011371
661,16.9600,0.86703,0.40462,0.000000011676
662,17.0930,0.84194,0.41834,0.000000011988
663,17.2260,0.81644,0.43476,0.00000001234
664,17.3610,0.79151,0.45237,0.000000012712
665,17.4960,0.76733,0.47012,0.0000000131
666,17.6330,0.74229,0.49032,0.000000013543
667,17.7710,0.71791,0.51195,0.000000014015
668,17.9090,0.69357,0.53471,0.00000001453
669,18.0490,0.66955,0.56076,0.000000015099
670,18.1900,0.64624,0.58938,0.000000015716
671,18.3320,0.62367,0.61989,0.000000016378
672,18.4750,0.6007,0.65523,0.000000017145
673,18.6200,0.57864,0.69365,0.000000017978
674,18.7650,0.55702,0.73698,0.000000018915
675,18.9120,0.53554,0.7865,0.000000019992
676,19.0590,0.51481,0.84197,0.000000021205
677,19.2080,0.49493,0.90311,0.000000022558
678,19.3580,0.47593,0.97845,0.000000024169
679,19.5090,0.45701,1.06463,0.000000026073
680,19.6620,0.43913,1.16299,0.000000028273
681,19.8150,0.42241,1.28771,0.000000031002
682,19.9700,0.40671,1.43792,0.000000034321
683,20.1260,0.39288,1.63042,0.000000038498
684,20.2830,0.37982,1.87772,0.000000043951
685,20.4410,0.36869,2.20873,0.000000051203
686,20.6010,0.35885,2.70018,0.00000006199
687,20.7620,0.35111,3.43625,0.000000078136
688,20.9240,0.34535,4.71856,0.000000106236
689,21.0870,0.34152,7.56178,0.000000168567
690,21.2520,0.33951,19.40359,0.000000428573
691,21.4180,0.33933,36.86136,-0.000000807524
692,21.5850,0.34214,9.49435,-0.000000205741
693,21.7540,0.34599,5.39618,-0.000000116047
694,21.9230,0.35254,3.82795,-0.000000081474
